OBJECTID,Park_Name,GlobalID
95,Vacant Land / Huon Road No. 1,09ef06ea-60ae-4d3a-b659-f74bff24b80a
97,Vacant Land / Waterworks Rd,167eabbe-03aa-40a7-a322-2007b0a0cb15
98,Vacant Land Giblin St,74979845-2f08-43fb-a38d-b7d05bacb654
99,Knocklofty Terrace,6f3f940b-cdd0-414e-a487-2a7e433cc8de
100,Forest Road Reserve No.2,b4b80062-b25f-4b8d-b17d-24dbda05147c
101,Wellington Park,3b3bb0b3-05fe-466c-8722-b97d8e3cda08
102,Tollmans Hill Reserve,d08d6707-29b5-4fa8-89aa-fa014c475ebe
107,Fern Glade Entry,75e81c01-e634-4151-86b3-7bd4373a6e91
108,Wellington Park recommended for inclusion,3cd49d86-3d3d-4fb7-a55a-5f8c1da0450e
112,Wellington Park,804efbfa-ce5d-43a7-aaac-f854f7bcc732
115,Wellington Park recommended for inclusion,3bb34d6d-d7b8-4543-9b9a-27c4f384b041
117,Bicentennial Park recommended for inclusion,cb10c97f-6b58-4317-96f4-661cbecb8c5f
118,Kalang Avenue 500,2e9406e0-2f59-4b76-a720-f8e793b9ada9
120,Ridgeway Park,55a45d36-e7f3-41d2-a8a3-4e380b06ad0f
121,Public Land Louden St,ff842b76-665c-45fe-92b5-7f03bc2402e9
122,Louden Street 51,bdc5be57-0a9d-4b15-87c5-6c0c611142f8
123,John Kennedy Park,26075bd9-8b2b-421f-8672-95e16d4952dd
124,Aberdeen St Play Area,362647a3-b42d-4cd0-95ed-8aa5d11ea211
125,Pavillion Point,0f989ec6-fef9-449a-8644-ebe177e288a3
126,University Rose Gardens,73737edf-a18d-45b4-b237-36776b539b96
127,Osborne Park,d39ce066-8edc-4886-86bc-2426602802c7
128,Fitzroy Gardens,69a45642-4001-401c-af3e-e876c2230113
129,Cascade Gardens,f3dbdf47-7cf3-4f66-9793-5cda34baf415
130,St Andrews Park,0ca4cb6c-7cae-4cef-8ea6-ef4a7f578c3f
131,New Town Bay Reserve,f5bf43c6-64c0-4770-b79e-efe2a576590c
132,Soundy Park,2b7e3920-35a0-40c2-8aba-f590883743da
133,Swanston St/Risdon Road Res,eac91742-e91a-41fa-886d-8fec16557f4d
134,Swanston Street Play Area,8afba91f-0b67-495c-a9e7-8627c6d54631
135,Riseley Court Playground,9587c25f-8c5a-4dd3-9ec9-6c09c1b68c90
136,Harbroe Avenue,90316965-1808-4f32-ad64-96f0eedbfde7
137,Forster St. Reserve,12d8903f-26b6-4cb3-bdbf-b80a2a20aa1d
138,Valentine St Reserve,4253570a-4d31-4fd6-b67a-3d44df071a8b
139,Parliament House Gardens,d6791d5a-fdc8-4132-8261-5cc18de10f36
140,Town Hall Gardens & Streetscape,0514f80e-256e-42fc-acbe-ce09415b2657
141,Princes Park,9dd46918-a2cb-40c2-97ad-cceec67b1cef
142,Seymour Street Playground,d6250dce-0f52-4bdb-b95e-f76595326cca
143,Stoke St Reserve,c9ba7881-0328-4dff-9890-4ab67712324c
144,Rosina Court Playground,896e3802-c476-4126-af30-b599c8851f8f
145,Intercity Cycleway,fc97485d-d500-4cf1-a1dd-f7fe808e61fb
146,Wallace Avenue Playground,61482632-1367-4ef5-8345-d44558c84276
147,Girrabong Road Playground,d91be0f5-1ece-47db-95b9-a6051f6d2651
148,Una Street / Lower Jordan Hill Rd Park,4e9f4ab5-10a5-4f4b-979b-4a4b7306e933
149,Doyle Avenue Playground,a6ffe746-bc55-4601-97b4-efa06f19f9b8
150,Glenrose Park,6668db1d-deea-4567-8faf-1d8bdb214f53
151,Edge Avenue Playground,1202448c-7bb1-4e6f-ba06-7340aded2b11
153,Blinking Billy Reserve,b02a7222-1425-4338-854a-b04b440302f8
155,New Town Rivulet Linear Park,1b2af487-17a2-4af6-9ce8-01fcec2fe533
156,Augusta Road Reserve,832507ef-52dd-4d8a-bba9-147b4bbacc76
157,Beaumaris (Sandy Bay Rd),3fc13907-d1ac-4801-a42d-4c1b15558920
159,Castray Esplanade,f4962576-06d0-42f6-85e7-293a372ab8c0
160,St Davids Park,d5ceec67-aed9-4dc3-83f3-bab136dbf6b0
162,Arthur Circus Reserve,f871e095-66f5-41cf-a06b-c69e8509879b
164,Casino Entrance Reserve,a5cc5aa8-ad3a-4330-843e-85302ef14317
166,Russell Crescent Reserve,6696e8d8-1738-4ed9-9bdf-5f4cf8777b94
170,Colville St Reserve,5647ac48-0a38-450e-861e-db80c3afef42
171,Elizabeth / Warwick St Park,670b1cd0-e755-4cd4-93de-28aee2b6acea
172,Degraves St,f16ef465-81d3-4a77-b314-4e3a426febde
173,Friends Park,80f14e4e-3c79-4de0-bf73-4d7a598d8c4b
175,Henslowe Park,88a331ee-2cc5-4648-80c3-c461c0fb502c
176,Hurle St Reserve,533ae648-89fb-404e-982c-e839cbbc1fc6
177,Kalang Ave Playground,e11658a3-5fb0-4f90-94e6-6c0da8cae0b8
178,John Doggett Park,a9115c95-49e2-456b-8e53-31e552340439
179,Maning Avenue Reserve,ab6e529a-ee3c-4ed6-a864-c8af8c7e0bb8
180,Marlyn Rd Play Area,3e37c244-0157-4197-9351-d8fcb8ddee84
181,Mawson Place,05ae0dbc-8a18-4b18-a8cf-25978bc38e04
182,Molle And Goulburn Play Area,eae73987-45bb-4c27-b985-7c7fe6018379
183,Liverpool Cres Reserve,d5e32322-bf48-4224-ba44-b8ebf8c876fd
186,Purdon & Featherstone Reserve,25f5b5d5-7788-4072-abdb-5584c9515254
187,Salamanca Square,5137cf5d-c7d8-4e2a-a9b6-0ac82bb88957
188,Mt Stuart Hall Play Area,103449db-b57e-4f46-9ef1-129d91d249a6
189,Mt Stuart Park,40b65271-5792-44c0-b800-9a2482492652
190,Napoleon Street Park,09f6aa4f-4336-4559-bf66-27aee786799b
191,North Hobart Cultural Park,9955da46-c91f-4e06-aecd-a7c63cdfcbf7
192,St Georges Park,21bb5bcf-524f-4038-93af-01ea4187f8a7
193,Railway Roundabout Gardens,8c6391d1-90c0-4092-a702-d2dd2fb3bb2f
194,Red Chapel Avenue,634840ee-56fe-4807-a174-eb69d2de742d
195,Nutgrove Beach Reserve No.1,32b85093-23b7-4918-8337-cf4be4e70ccb
196,Peace Park,44961fc7-8fa1-45f1-ad96-50b1235f6d82
197,Ross Kennedy Patent Slip Park,0e31a4d4-6e75-40ed-848b-2d581dba8ebc
198,Pearce's Park No. 1,58cced68-2257-43b7-be85-722afa3c384f
199,Derwentwater Foreshore Reserve,1bcb0483-a4d6-42c7-8aa0-ba4f67cb2049
200,Queenborough Memorial Gardens,58afdbff-f6cc-4d8b-b330-cc2d287e3d5b
201,Cole Close,1ff5beee-cf75-4797-bedc-2fa85abf0171
202,Strickland Ave No.4,7019c6cf-35fe-4c37-930c-6647f6a954aa
203,Swan St Park,4e39843a-73fc-4662-a5c9-2966b9ddbb7c
205,South Hobart Play Area,e65ca558-c5ca-4831-9cb3-1f3900ccb8ec
206,Westringa Playground,9de89a6a-37aa-4a66-abd9-fb72d4b62fd7
207,Wellesley Park Reserve,59babe12-8239-4576-9c15-1addab7b3feb
208,Brooke St,5ca17865-86df-4cca-9e9d-68517865b27c
209,Bakers Milk Corner Reserve,5cf612aa-9288-4e61-992d-9cc0210126d5
